"Seed Angle","Keyword","Search Volume","CPC","Competition Level"
"paraşüt entegrasyon","paraşüt",246000,0.07,"MEDIUM"
"paraşüt entegrasyon","bizim hesap",110000,0.08,"LOW"
"paraşüt entegrasyon","yengeç burcu",40500,0.69,"LOW"
"n8n","n8n",40500,0.24,"MEDIUM"
"whatsapp sipariş","whatsapp business",40500,0.73,"LOW"
"paraşüt entegrasyon","paraşüt giriş",22200,0.86,"LOW"
"yapay zeka video","yapay zeka video oluşturma",22200,1.48,"HIGH"
"yapay zeka video","yapay zeka video oluşturucu",22200,1.48,"HIGH"
"paraşüt entegrasyon","paraşüt atlas",14800,0.76,"LOW"
"whatsapp sipariş","whatsapp business web",14800,0.57,"LOW"
"yapay zeka video","yapay zeka video",9900,0.92,"MEDIUM"
"salesforce türkiye","salesforce",8100,5.33,"MEDIUM"
"whatsapp bot","whatsapp meta al nasıl silinir",6600,0.00,"LOW"
"maliyet düşürme","hisse maliyet hesaplama",6600,0.35,"LOW"
"zapier","zapier",5400,0.43,"MEDIUM"
"zaman tasarrufu","su tasarrufu",5400,0.45,"LOW"
"whatsapp bot","whatsapp meta al nedir",4400,0.07,"LOW"
"yapay zeka video","yapay zeka video yapma ücretsiz",4400,0.79,"HIGH"
"paraşüt entegrasyon","paraşüt muhasebe",3600,0.78,"MEDIUM"
"paraşüt entegrasyon","paraşüt portal",3600,0.60,"LOW"
"salesforce türkiye","salesforce login",3600,1.46,"LOW"
"paraşüt entegrasyon","paraşüt müşteri hizmetleri",2900,1.84,"LOW"
"n8n","n8n nedir",2900,0.40,"LOW"
"yapay zeka video","ücretsiz yapay zeka video oluşturma",2900,1.01,"HIGH"
"maliyet düşürme","borsada maliyet hesaplama",2400,0.50,"LOW"
"maliyet düşürme","borsa maliyet hesaplama",2400,0.50,"LOW"
"zaman tasarrufu","tasarruf nedir",2400,0.00,"LOW"
"yapay zeka video","video oluşturan yapay zeka",2400,0.72,"HIGH"
"paraşüt entegrasyon","paraşüt e-fatura",1900,0.34,"MEDIUM"
"paraşüt entegrasyon","paraşüt iletişim",1900,0.67,"LOW"
"yapay zeka video","fotoğraftan video yapma yapay zeka",1900,0.82,"MEDIUM"
"yapay zeka video","yapay zeka ile video oluşturma siteleri",1600,0.77,"MEDIUM"
"ideasoft entegrasyon","pazaryeri entegrasyon",1300,3.94,"MEDIUM"
"whatsapp sipariş","whatsapp business apk",1300,0.29,"LOW"
"zaman tasarrufu","su tasarrufu için neler yapmalıyız",1300,0.16,"LOW"
"salesforce türkiye","emin evren özcan",1000,0.26,"LOW"
"zapier","ifttt",1000,1.54,"LOW"
"whatsapp bot","whatsapp yapay zeka numarası",1000,0.33,"LOW"
"whatsapp sipariş","whatsapp business ücretli mi",1000,0.65,"LOW"
"maliyet düşürme","ortalama maliyet hesaplama",1000,0.48,"LOW"
"maliyet düşürme","hissede maliyet düşürme hesaplama",880,0.37,"LOW"
"zaman tasarrufu","su tasarrufu örnekleri",880,0.23,"LOW"
"zaman tasarrufu","su tasarrufu ile ilgili ödev",880,0.00,"LOW"
"zaman tasarrufu","su sorunu ve su tasarrufu",880,0.00,"LOW"
"yapay zeka video","ücretsiz yapay zeka video",880,0.75,"MEDIUM"
"zaman tasarrufu","su tasarrufu nedir",720,0.01,"LOW"
"zaman tasarrufu","su tasarrufu ile ilgili projeler",720,0.22,"LOW"
"yapay zeka video","fotoğraftan video yapma yapay zeka ücretsiz",720,0.90,"MEDIUM"
"yapay zeka video","yapay zeka video edit",720,0.97,"HIGH"
"n8n","n8n github",590,0.37,"LOW"
"whatsapp bot","whatsapp meta ai nasıl kullanılır",590,0.10,"LOW"
"whatsapp bot","whatsapp meta al nasıl silinir android",590,0.00,"LOW"
"whatsapp bot","whatsapp meta nedir",590,0.00,"LOW"
"yapay zeka video","en iyi yapay zeka video oluşturucu",590,1.53,"HIGH"
"yapay zeka video","en iyi yapay zeka video oluşturma",590,1.53,"HIGH"
"paraşüt entegrasyon","yengeç entegrasyon",480,0.24,"MEDIUM"
"maliyet düşürme","maliyet düşürme",480,0.00,"LOW"
"zaman tasarrufu","su tasarrufu afiş",480,0.00,"LOW"
"yapay zeka video","yapay zeka ile metinden video oluşturma ücretsiz",480,0.97,"MEDIUM"
"trendyol entegrasyon","trendyol entegrasyon",390,3.63,"MEDIUM"
"trendyol entegrasyon","trendyol entegrasyonu",390,3.63,"MEDIUM"
"n8n","n8n otomasyonları",390,0.69,"MEDIUM"
"whatsapp bot","whatsapp bot",390,1.93,"MEDIUM"
"whatsapp sipariş","whatsapp business giriş",390,0.45,"LOW"
"otomatik mesaj","whatsapp business otomatik mesaj",390,1.23,"LOW"
"zaman tasarrufu","su tasarrufu nasıl yapılır",390,0.00,"LOW"
"paraşüt entegrasyon","paraşüt api",320,0.00,"LOW"
"whatsapp bot","whatsapp meta al ne demek",320,0.21,"LOW"
"whatsapp bot","whatsapp yapay zeka kapatma",320,0.02,"LOW"
"whatsapp sipariş","whatsapp business indir pc",320,0.57,"LOW"
"otomatik mesaj","whatsapp ileri tarihli mesaj gönderme iphone",320,0.00,"LOW"
"maliyet düşürme","hisse maliyet düşürme",320,1.40,"LOW"
"zaman tasarrufu","tasarruf nedir örnekler",320,0.00,"LOW"
"salesforce türkiye","inspark",260,0.07,"LOW"
"zapier","zapier nedir",260,0.54,"MEDIUM"
"whatsapp bot","meta ai whatsapp kapatma",260,0.00,"LOW"
"otomatik mesaj","iphone arama reddetme çıkmıyor",260,0.00,"LOW"
"otomatik mesaj","iphone meşgule atma sorunu",260,0.00,"LOW"
"zaman tasarrufu","su tasarrufu ile ilgili kısa bilgi",260,0.00,"LOW"
"yapay zeka video","yapay zeka video oluşturma programı",260,1.00,"HIGH"
"yapay zeka video","google yapay zeka video oluşturma",260,0.59,"MEDIUM"
"n8n","n8n self-hosted",210,1.16,"LOW"
"whatsapp bot","whatsapp meta ai nasıl açılır",210,0.14,"LOW"
"whatsapp bot","whatsapp meta al güvenilir mi",210,0.00,"LOW"
"whatsapp sipariş","whatsapp yemek",210,0.34,"LOW"
"whatsapp sipariş","whatsapp business pc",210,0.49,"LOW"
"yapay zeka video","yapay zeka video edit ücretsiz",210,0.70,"MEDIUM"
"paraşüt entegrasyon","pazaryeri entegrasyon firmaları",170,4.66,"HIGH"
"zapier","zapier ai",170,1.70,"MEDIUM"
"whatsapp sipariş","whatsapp sipariş",170,0.48,"LOW"
"otomatik mesaj","whatsapp otomatik mesaj örnekleri",170,0.20,"LOW"
"otomatik mesaj","gelen aramaya cevap vermediğim arayana otomatik mesaj gönderme iphone",170,0.00,"LOW"
"otomatik mesaj","iphone arama cevaplama şekli değiştirme",170,0.00,"LOW"
"zaman tasarrufu","doğalgaz tasarrufu için neler yapmalıyız",170,0.00,"LOW"
"yapay zeka video","yapay zeka ile video oluşturma nasıl yapılır",170,0.75,"MEDIUM"
"paraşüt entegrasyon","e-ticaret entegrasyon programları",140,5.89,"MEDIUM"
"trendyol entegrasyon","logo entegrasyon",140,1.74,"MEDIUM"
